Period,Sd,Sa
1.09,2.334544282709291,0.07907511818796888
1.1,2.3397199897360355,0.07781606122278842
1.11,2.3567567131558502,0.07697674177511626
1.12,2.372926252323889,0.07612703673169141
1.1300000000000001,2.3881903558346935,0.07526668394725805
1.1400000000000001,2.402509498605985,0.0743954097413824
1.1500000000000001,2.415842812086876,0.07351292816985937
1.16,2.4281480090658074,0.0726189402353766
1.17,2.439381302540221,0.07171313303109303
1.18,2.449497318044152,0.07079517880998712
1.19,2.458448998754586,0.06986473397191072
1.2,2.466187502610695,0.06892143795921987
1.21,2.4823211793850266,0.06823040692904489
1.22,2.4976777383219684,0.06753166711086404
1.23,2.5122261547938356,0.06682504181709076
1.24,2.525934470447537,0.06611034729154754
1.25,2.538769746803628,0.06538739230376996
1.26,2.5506980155991825,0.06465597771261318
1.27,2.561684225580714,0.06391589599625849
1.28,2.571692185420676,0.0631669307453805
1.29,2.580684502394508,0.062408856115864136
1.3,2.5886225164133196,0.06164143623702877
1.31,2.6036839137643577,0.06105713162721336
1.32,2.6181277998234944,0.060469128444467744
1.33,2.631934943057539,0.05987735358349784
1.34,2.645085701289599,0.05928173155561904
1.35,2.6575600050755535,0.05868218437780711
1.36,2.669337340143211,0.05807863145497494
1.37,2.680396728826441,0.0574709894549609
1.3800000000000001,2.690716710420477,0.05685917217566576
1.3900000000000001,2.7002753203780148,0.056243090403723904
1.4000000000000001,2.709050068258496,0.0556226517640381
1.41,2.72161344433217,0.05509078308134162
1.42,2.73338444750918,0.05455251276536642
1.43,2.744334500317653,0.05400770213776452
1.44,2.7544341627607634,0.05345620716313371
1.45,2.7636530906658088,0.05289787815189086
1.46,2.771959991192404,0.052332559441388954
1.47,2.7793225752510176,0.051760089053286835
1.48,2.7857075065562302,0.05118029832495841
1.49,2.791080347008953,0.05059301151247804
1.5,2.7954054980679497,0.049998045362438924
1.51,2.804965663327725,0.04950674625379038
1.52,2.813701566022394,0.04900964827456901
1.53,2.8215853364157844,0.048506624897946146
1.54,2.8285882554971424,0.04799754467162177
1.55,2.8346807133285634,0.04748227094220059
1.56,2.83983216451538,0.046960661559197585
