,he1,hi1,b1,h1,he2,hi2,b2,h2,T,Weight,Mstar,Part Factor
221,0.44999999999999996,0.44999999999999996,0.39999999999999997,0.6499999999999999,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.6499999999999999,0.43317802214626105,160.11038472656247,69.6023595922082,1.2110858387274757
222,0.44999999999999996,0.44999999999999996,0.39999999999999997,0.6499999999999999,0.39999999999999997,0.44999999999999996,0.39999999999999997,0.6499999999999999,0.42273846863652514,163.29788472656247,71.54118094308322,1.1970737349135672
223,0.44999999999999996,0.44999999999999996,0.39999999999999997,0.7,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.7,0.4224390271906227,170.11038472656247,70.01508047933389,1.2082752372198122
224,0.44999999999999996,0.44999999999999996,0.39999999999999997,0.7,0.39999999999999997,0.44999999999999996,0.39999999999999997,0.7,0.4121854568882519,173.2978847265625,72.05191867084508,1.1930605683045947
225,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.4,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.4,0.5255199678118453,123.50827300781249,68.08386378583248,1.220542811060604
226,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.45,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.45,0.48813926541017866,134.75827300781248,69.48351877944985,1.2118768245660325
227,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.5,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.5,0.4602856600284834,146.00827300781248,70.71072258810243,1.203322099062211
228,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.55,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.55,0.43926121274936053,157.25827300781248,71.76923716486364,1.1952972758184661
229,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.6,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.6,0.42317403327353015,168.50827300781248,72.67289612317872,1.1880168429243596
230,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.6499999999999999,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.6499999999999999,0.4106957437637702,179.75827300781248,73.43989794293441,1.1815530363044875
231,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.7,0.44999999999999996,0.44999999999999996,0.44999999999999996,0.7,0.4008885741060399,191.00827300781248,74.08926407813408,1.1758918425554714
232,0.44999999999999996,0.49999999999999994,0.39999999999999997,0.4,0.39999999999999997,0.44999999999999996,0.39999999999999997,0.4,0.5256441910470959,117.45413472656249,65.8767490970675,1.2315236537621073
233,0.44999999999999996,0.49999999999999994,0.39999999999999997,0.4,0.39999999999999997,0.49999999999999994,0.39999999999999997,0.4,0.5189565376460232,121.0166347265625,66.56409991748677,1.228482360401629
234,0.44999999999999996,0.49999999999999994,0.39999999999999997,0.45,0.39999999999999997,0.44999999999999996,0.39999999999999997,0.45,0.48609973172549137,127.45413472656247,66.90195510062209,1.2268584434331566
235,0.44999999999999996,0.49999999999999994,0.39999999999999997,0.45,0.39999999999999997,0.49999999999999994,0.39999999999999997,0.45,0.4791075528924166,131.01663472656247,67.79401492330766,1.2221802760171163
236,0.44999999999999996,0.49999999999999994,0.39999999999999997,0.5,0.39999999999999997,0.44999999999999996,0.39999999999999997,0.5,0.4559949787604183,137.45413472656247,67.78334242900559,1.222239493705587
237,0.44999999999999996,0.49999999999999994,0.39999999999999997,0.5,0.39999999999999997,0.49999999999999994,0.39999999999999997,0.5,0.44879616420972124,141.01663472656247,68.87931663784516,1.2157675979942157
238,0.44999999999999996,0.49999999999999994,0.39999999999999997,0.55,0.39999999999999997,0.44999999999999996,0.39999999999999997,0.55,0.43294250008989565,147.4541347265625,68.5352186348296,1.2178829188725022
239,0.44999999999999996,0.49999999999999994,0.39999999999999997,0.55,0.39999999999999997,0.49999999999999994,0.39999999999999997,0.55,0.4255915975771796,151.01663472656247,69.82393858867587,1.209589060717442
240,0.44999999999999996,0.49999999999999994,0.39999999999999997,0.6,0.39999999999999997,0.44999999999999996,0.39999999999999997,0.6,0.41516484268585285,157.45413472656247,69.1729243224172,1.21390451041553
241,0.44999999999999996,0.49999999999999994,0.39999999999999997,0.6,0.39999999999999997,0.49999999999999994,0.39999999999999997,0.6,0.4076984506327918,161.01663472656247,70.63754868578553,1.2038554894610143
242,0.44999999999999996,0.49999999999999994,0.39999999999999997,0.6499999999999999,0.39999999999999997,0.44999999999999996,0.39999999999999997,0.6499999999999999,0.40134404665451057,167.45413472656247,69.71138338129946,1.2103529306471261
243,0.44999999999999996,0.49999999999999994,0.39999999999999997,0.6499999999999999,0.39999999999999997,0.49999999999999994,0.39999999999999997,0.6499999999999999,0.3937911376433458,171.01663472656247,71.33258263684237,1.198676209110095
244,0.44999999999999996,0.49999999999999994,0.39999999999999997,0.7,0.39999999999999997,0.44999999999999996,0.39999999999999997,0.7,0.3905052421441688,177.45413472656247,70.16462942597379,1.2072329083662048
