,he1,hi1,b1,h1,he2,hi2,b2,h2,he3,hi3,b3,h3,he4,hi4,b4,h4,T,Weight,Mstar,Part Factor
37,0.25,0.35,0.25,0.5,0.25,0.35,0.25,0.5,0.25,0.3,0.25,0.5,0.25,0.25,0.25,0.5,1.3899804573632215,287.7271728515625,127.46845850543606,1.3082960704401367
38,0.25,0.35,0.25,0.5,0.25,0.35,0.25,0.5,0.25,0.3,0.25,0.5,0.25,0.3,0.25,0.5,1.3760765859349045,291.8521728515625,132.22251300953258,1.2746969684047391
39,0.25,0.35,0.25,0.5,0.25,0.35,0.25,0.5,0.25,0.35,0.25,0.5,0.25,0.3,0.25,0.5,1.3448724667721277,296.7271728515625,135.1254040155281,1.2672750903071153
40,0.25,0.35,0.25,0.5,0.25,0.35,0.25,0.5,0.25,0.35,0.25,0.5,0.25,0.35,0.25,0.5,1.3374473172980026,301.6021728515625,138.1248510038755,1.2461991943299273
41,0.25,0.35,0.25,0.55,0.25,0.3,0.25,0.55,0.25,0.25,0.25,0.55,0.25,0.25,0.25,0.55,1.450746692907123,301.2271728515625,124.63803265011508,1.297137413066693
42,0.25,0.35,0.25,0.55,0.25,0.3,0.25,0.55,0.25,0.3,0.25,0.55,0.25,0.25,0.25,0.55,1.3951501491964806,305.3521728515625,128.80732179402332,1.2905810928002737
43,0.25,0.35,0.25,0.55,0.25,0.3,0.25,0.55,0.25,0.3,0.25,0.55,0.25,0.3,0.25,0.55,1.3819408688712205,309.4771728515625,133.48566122022652,1.25728401936629
44,0.25,0.35,0.25,0.55,0.25,0.35,0.25,0.55,0.25,0.3,0.25,0.55,0.25,0.25,0.25,0.55,1.336513941241048,310.2271728515625,127.80704205354455,1.3099963057429906
45,0.25,0.35,0.25,0.55,0.25,0.35,0.25,0.55,0.25,0.3,0.25,0.55,0.25,0.3,0.25,0.55,1.322384425154743,314.3521728515625,132.9268647789008,1.2738479635867426
46,0.25,0.35,0.25,0.55,0.25,0.35,0.25,0.55,0.25,0.35,0.25,0.55,0.25,0.3,0.25,0.55,1.2897547893099883,319.2271728515625,136.21884985218327,1.2648169995184648
47,0.25,0.35,0.25,0.55,0.25,0.35,0.25,0.55,0.25,0.35,0.25,0.55,0.25,0.35,0.25,0.55,1.282104477700983,324.1021728515625,139.5725278726182,1.2412923632624746
48,0.25,0.39999999999999997,0.25,0.4,0.25,0.35,0.25,0.4,0.25,0.3,0.25,0.4,0.25,0.25,0.25,0.4,1.4915288166137612,249.2896728515625,120.5223046326682,1.3174207317947042
