,he1,hi1,b1,h1,he2,hi2,b2,h2,he3,hi3,b3,h3,T,Weight,Mstar,Part Factor
17,0.25,0.44999999999999996,0.3,0.55,0.25,0.44999999999999996,0.3,0.55,0.25,0.44999999999999996,0.25,0.5,0.7372856131968604,266.8399658203125,103.30056151155301,1.2411720263879928
18,0.25,0.44999999999999996,0.3,0.55,0.25,0.44999999999999996,0.3,0.55,0.25,0.44999999999999996,0.25,0.55,0.7303772287521326,271.5274658203125,103.57831593492543,1.2397372840127938
19,0.25,0.44999999999999996,0.3,0.6,0.25,0.44999999999999996,0.3,0.6,0.25,0.39999999999999997,0.25,0.55,0.7115936711400401,276.4024658203125,102.03283394729327,1.2550607031651715
20,0.25,0.44999999999999996,0.3,0.6,0.25,0.44999999999999996,0.3,0.6,0.25,0.44999999999999996,0.25,0.55,0.7048067441079001,282.7774658203125,104.60495549884901,1.2345807926400465
21,0.3,0.39999999999999997,0.25,0.55,0.3,0.39999999999999997,0.25,0.55,0.25,0.35,0.25,0.5,0.8096884968909503,220.43459203125002,100.44599836078976,1.269231968658283
22,0.3,0.39999999999999997,0.25,0.55,0.3,0.39999999999999997,0.25,0.55,0.25,0.35,0.25,0.55,0.7998021551302994,225.12209203125002,100.66776068118816,1.268569868371019
23,0.3,0.39999999999999997,0.25,0.55,0.3,0.39999999999999997,0.25,0.55,0.25,0.39999999999999997,0.25,0.5,0.7994011321678859,226.05959203125002,103.79477598186101,1.24289659620518
24,0.3,0.39999999999999997,0.25,0.55,0.3,0.39999999999999997,0.25,0.55,0.25,0.39999999999999997,0.25,0.55,0.7895552403564895,230.74709203125002,104.09426371311781,1.2415639245996823
25,0.3,0.39999999999999997,0.25,0.6,0.3,0.39999999999999997,0.25,0.6,0.25,0.35,0.25,0.55,0.778799676181088,234.49709203125002,101.23805843820995,1.2666538258132112
26,0.3,0.39999999999999997,0.25,0.6,0.3,0.39999999999999997,0.25,0.6,0.25,0.39999999999999997,0.25,0.55,0.768197897997479,240.12209203125002,104.99643817572971,1.236887082345023
27,0.3,0.39999999999999997,0.3,0.5,0.3,0.39999999999999997,0.3,0.5,0.25,0.39999999999999997,0.25,0.5,0.8093141429318141,235.43459203125002,103.40810809872815,1.244827455373001
28,0.3,0.39999999999999997,0.3,0.5,0.3,0.39999999999999997,0.3,0.5,0.3,0.35,0.3,0.5,0.8054025788477993,239.20883500000002,102.61204195535028,1.2519476933255138
29,0.3,0.39999999999999997,0.3,0.5,0.3,0.39999999999999997,0.3,0.5,0.3,0.39999999999999997,0.3,0.45,0.8097910008914136,239.20883500000002,104.73171772966177,1.2337930527111234
30,0.3,0.39999999999999997,0.3,0.5,0.3,0.39999999999999997,0.3,0.5,0.3,0.39999999999999997,0.3,0.5,0.7978035258218006,244.83383500000002,105.18026815277881,1.2314640047718561
31,0.3,0.39999999999999997,0.3,0.55,0.3,0.39999999999999997,0.3,0.55,0.25,0.35,0.25,0.5,0.7936134035213837,241.05959203125,100.86725914604625,1.26781112736818
32,0.3,0.39999999999999997,0.3,0.55,0.3,0.39999999999999997,0.3,0.55,0.25,0.35,0.25,0.55,0.7848477396118644,245.74709203125,101.07106240727953,1.2672001101401797
33,0.3,0.39999999999999997,0.3,0.55,0.3,0.39999999999999997,0.3,0.55,0.25,0.39999999999999997,0.25,0.5,0.7830636667315551,246.68459203125,104.4595837533218,1.2394467891096124
34,0.3,0.39999999999999997,0.3,0.55,0.3,0.39999999999999997,0.3,0.55,0.25,0.39999999999999997,0.25,0.55,0.7743519913792781,251.37209203125,104.73200187970157,1.2382379657234064
35,0.3,0.39999999999999997,0.3,0.55,0.3,0.39999999999999997,0.3,0.55,0.3,0.35,0.3,0.5,0.7810633171097263,250.458835,103.318507667707,1.2492288999806513
36,0.3,0.39999999999999997,0.3,0.55,0.3,0.39999999999999997,0.3,0.55,0.3,0.35,0.3,0.55,0.772263996249815,256.083835,103.64715424578297,1.247623024688352
37,0.3,0.39999999999999997,0.3,0.55,0.3,0.39999999999999997,0.3,0.55,0.3,0.39999999999999997,0.3,0.5,0.7732043456044717,256.083835,106.17268906670853,1.2263483240622957
38,0.3,0.39999999999999997,0.3,0.55,0.3,0.39999999999999997,0.3,0.55,0.3,0.39999999999999997,0.3,0.55,0.76455056320746,261.708835,106.52901228318194,1.2244638287040701
39,0.3,0.39999999999999997,0.3,0.6,0.3,0.39999999999999997,0.3,0.6,0.25,0.35,0.25,0.55,0.7656991231477668,256.99709203124996,101.60359414891973,1.265396800428045
40,0.3,0.39999999999999997,0.3,0.6,0.3,0.39999999999999997,0.3,0.6,0.25,0.39999999999999997,0.25,0.55,0.754851795812097,262.62209203124996,105.59316686955458,1.2337080482762501
41,0.3,0.39999999999999997,0.3,0.6,0.3,0.39999999999999997,0.3,0.6,0.3,0.35,0.3,0.55,0.754202012735801,267.33383499999997,104.20341693329554,1.2454580000427506
42,0.3,0.39999999999999997,0.3,0.6,0.3,0.39999999999999997,0.3,0.6,0.3,0.35,0.3,0.6,0.7477538577808887,272.95883499999997,104.46159476937069,1.2441750225209471
43,0.3,0.39999999999999997,0.3,0.6,0.3,0.39999999999999997,0.3,0.6,0.3,0.39999999999999997,0.3,0.55,0.746251368848698,272.95883499999997,107.33247422589957,1.2202419274738396
44,0.3,0.39999999999999997,0.3,0.6,0.3,0.39999999999999997,0.3,0.6,0.3,0.39999999999999997,0.3,0.6,0.7399071193149199,278.58383499999997,107.61457021405944,1.2187259421262586
45,0.3,0.39999999999999997,0.3,0.6499999999999999,0.3,0.39999999999999997,0.3,0.6499999999999999,0.3,0.35,0.3,0.6,0.7341313463060327,284.20883499999997,104.901447605197,1.242441550617214
46,0.3,0.39999999999999997,0.3,0.6499999999999999,0.3,0.39999999999999997,0.3,0.6499999999999999,0.3,0.39999999999999997,0.3,0.6,0.7260778855661674,289.83383499999997,108.26504226157218,1.215250007074641
47,0.3,0.39999999999999997,0.35,0.5,0.3,0.39999999999999997,0.35,0.5,0.3,0.35,0.3,0.45,0.8028863695936107,252.33383500000002,102.60129810382276,1.2524059497838602
48,0.3,0.39999999999999997,0.35,0.5,0.3,0.39999999999999997,0.35,0.5,0.3,0.35,0.3,0.5,0.7918761744065168,257.958835,102.99692051471558,1.2504791990766595
49,0.3,0.39999999999999997,0.35,0.5,0.3,0.39999999999999997,0.35,0.5,0.3,0.39999999999999997,0.3,0.45,0.7949392564026835,257.958835,105.30161817838257,1.230874981320266
50,0.3,0.39999999999999997,0.35,0.5,0.3,0.39999999999999997,0.35,0.5,0.3,0.39999999999999997,0.3,0.5,0.7841404350188446,263.583835,105.72072672832917,1.2286843426267098
51,0.3,0.39999999999999997,0.35,0.55,0.3,0.39999999999999997,0.35,0.55,0.3,0.35,0.3,0.5,0.7692846088564631,271.083835,103.66524461460992,1.2479062593408983
52,0.3,0.39999999999999997,0.35,0.55,0.3,0.39999999999999997,0.35,0.55,0.3,0.35,0.3,0.55,0.7612979061750218,276.708835,103.97861726595899,1.2463475499555368
53,0.3,0.39999999999999997,0.35,0.55,0.3,0.39999999999999997,0.35,0.55,0.3,0.39999999999999997,0.3,0.5,0.761278975885906,276.708835,106.67538287694875,1.2237225984122055
54,0.3,0.39999999999999997,0.35,0.55,0.3,0.39999999999999997,0.35,0.55,0.3,0.39999999999999997,0.3,0.55,0.7534456101208811,282.333835,107.00901991438397,1.2219460169207002
55,0.3,0.39999999999999997,0.35,0.6,0.3,0.39999999999999997,0.35,0.6,0.3,0.35,0.3,0.55,0.7446718445060437,289.833835,104.49847353841648,1.2443225518279497
56,0.3,0.39999999999999997,0.35,0.6,0.3,0.39999999999999997,0.35,0.6,0.3,0.35,0.3,0.6,0.7387923387319829,295.45883499999997,104.745631340127,1.243071146043335
57,0.3,0.39999999999999997,0.35,0.6,0.3,0.39999999999999997,0.35,0.6,0.3,0.39999999999999997,0.3,0.55,0.7365799869986351,295.458835,107.77231947835227,1.2179037576877112
58,0.3,0.39999999999999997,0.35,0.6,0.3,0.39999999999999997,0.35,0.6,0.3,0.39999999999999997,0.3,0.6,0.7308130083342975,301.08383499999997,108.03695637605324,1.2164718035122448
59,0.3,0.39999999999999997,0.35,0.6499999999999999,0.3,0.39999999999999997,0.35,0.6499999999999999,0.3,0.35,0.3,0.6,0.7263404237455514,308.58383499999997,105.15234686210975,1.241467248021364
60,0.3,0.39999999999999997,0.35,0.6499999999999999,0.3,0.39999999999999997,0.35,0.6499999999999999,0.3,0.39999999999999997,0.3,0.6,0.7181572830677592,314.20883499999997,108.64796976147451,1.2131837854933452
