IML,C,D,1_R_ISDR_SD,1_R_ISDR_NSD,1_R_ISDR_TOTAL,1_R_PFA,1_R_TOTAL,2_R_ISDR_SD,2_R_ISDR_NSD,2_R_ISDR_TOTAL,2_R_PFA,2_R_TOTAL,R_ISDR_SD_TOTAL,R_ISDR_NSD_TOTAL,R_ISDR_TOTAL_TOTAL,R_PFA_TOTAL,R_TOTAL_TOTAL,E_NC_ND_ISDR_S,E_NC_ND_ISDR_NS,E_NC_ND_ISDR_TOTAL,E_NC_ND_PFA_TOTAL,E_NC_ND_S,E_NC_ND_NS,E_NC_ND,E_NC_D,E_C,E_LT
0.55,0.00014257198092214852,0.06821682197666455,926.3916124510988,37977.2808875684,38903.6725000195,4476.282532399265,43379.955032418766,1458.2276662796266,31473.80287283657,32932.0305391162,28329.674599709622,61261.70513882582,2384.6192787307255,69451.08376040497,71835.7030391357,32805.95713210889,104641.66017124458,2221.6313423650417,64704.12523271335,66925.75657507838,30563.680848781354,2221.6313423650417,95267.8060814947,97489.43742385974,47671.19452323956,99.64618079093857,145260.27812789023
0.6000000000000001,0.0003402769720022129,0.07460160184837228,1044.4442920501265,40529.78878283496,41574.23307488509,5665.704141895087,47239.93721678018,1590.2242167119432,33546.897343201905,35137.121559913845,31611.81448075064,66748.93604066448,2634.66850876207,74076.68612603686,76711.35463479893,37277.51862264573,113988.87325744466,2437.288382252521,68527.12054298927,70964.40892524179,34484.81763683668,2437.288382252521,103011.93817982596,105449.22656207847,52122.69001291305,237.82583682863145,157809.74241182016
0.6500000000000001,0.0007246018047192552,0.08086877891812255,1183.560453712222,43400.44909694097,44584.00955065319,7337.222776108776,51921.232326761965,1708.884709869412,35809.37342575365,37518.25813562306,34948.72809519208,72466.98623081514,2892.445163581634,79209.82252269462,82102.26768627625,42285.950871300854,124388.2185575771,2656.610274656949,72751.46682710998,75408.07710176692,38838.17504053654,2656.610274656949,111589.64186764651,114246.25214230346,56479.722586435746,506.43753399149426,171232.4122627307
0.7000000000000001,0.0014049448524061,0.08701830527225546,1294.5796346873374,46097.13214789487,47391.711782582206,9354.70103684287,56746.41281942507,1800.3030456603467,37985.10025772341,39785.403303383755,38301.20443219959,78086.60773558335,3094.882680347684,84082.23240561827,87177.11508596595,47655.90546904246,134833.02055500844,2821.601462726373,76657.68768925959,79479.28915198595,43447.84163640538,2821.601462726373,120105.52932566497,122927.13078839135,60733.24777955934,981.9418083319075,184642.3203762826
0.7500000000000001,0.0025195008526515553,0.09305127632138155,1380.230963103937,48587.596836720404,49967.82779982434,11338.899287340137,61306.72708716448,1868.8971939242906,39883.657162027266,41752.55435595156,41188.047850021845,82940.60220597341,3249.1281570282276,88471.25399874768,91720.38215577591,52526.94713736198,144247.32929313788,2939.368188528329,80036.72894238176,82976.09713091009,47519.22053985316,2939.368188528329,127555.94948223492,130495.31767076325,64871.39279877553,1760.9255047338609,197127.63597427265
0.8,0.0042306253758408255,0.09896954447842865,1441.8025822865375,51115.464952687675,52557.26753497421,13557.350688979168,66114.61822395338,1907.3627645921326,41839.43761839985,43746.800382991976,44116.72179003435,87863.52217302633,3349.16534687867,92954.90257108753,96304.0679179662,57674.07247901352,153978.1403969797,3004.933220011061,83400.86133969891,86405.79455970996,51746.24671398518,3004.933220011061,135147.1080536841,138152.04127369515,68878.9963984146,2956.8619186820683,209987.8995907918
0.8500000000000001,0.0067171783380371025,0.10477545598220744,1544.1214456990035,53287.69253365451,54831.813979353516,15149.253472584103,69981.06745193762,1998.1329163904968,43023.38170557927,45021.51462196976,46606.0717955867,91627.58641755646,3542.2543620895003,96311.07423923377,99853.32860132327,61755.3252681708,161608.6538694941,3149.8121142359028,85640.88215134987,88790.69426558577,54913.52448600589,3149.8121142359028,140554.40663735574,143704.21875159166,72737.59848318752,4694.759536535551,221136.57677131472
0.9000000000000001,0.010164895875447591,0.110471669356211,1546.8726931638778,56383.59896149541,57930.47165465929,17398.42387568995,75328.89553034924,2024.8173721494445,44542.53656578847,46567.353937937914,49001.28468677373,95568.63862471165,3571.6900653133225,100926.13552728388,104497.8255925972,66399.70856246368,170897.5341550609,3144.824412459833,88864.08648494782,92008.91089740765,58464.03821411529,3144.824412459833,147328.1246990631,150472.94911152293,76425.8438447874,7104.43276143443,234003.22571774476
0.9500000000000001,0.01475599487216598,0.11606102903469478,1447.043161315193,59646.01451278862,61093.05767410382,19819.93073311902,80912.98840722285,1970.2499978056746,46247.073690815116,48217.32368862079,51403.187468985474,99620.51115760626,3417.2931591208676,105893.08820360374,109310.38136272461,71223.1182021045,180533.4995648291,2976.105480649263,92221.82162641734,95197.92710706661,62027.89826926765,2976.105480649263,154249.71989568498,157225.82537633425,79920.2238945552,10313.236326462451,247459.28559735187
1.0,0.020659138680703227,0.12154647688290571,1291.1467599875227,63816.39069893488,65107.53745892241,21179.10744826553,86286.64490718793,1854.602270402273,48734.970492358785,50589.57276276106,53444.09801316279,104033.67077592385,3145.7490303897957,112551.36119129366,115697.11022168347,74623.20546142833,190320.31568311178,2706.3049721309203,96828.54718208648,99534.85215421741,64198.74885937303,2706.3049721309203,161027.2960414595,163733.60101359044,83196.05323002173,14439.052152095212,261368.70639570738
1.05,0.02802066598546193,0.12693099010882097,1175.5414710381067,67114.55310363739,68290.09457467549,23233.507635469876,91523.60221014536,1711.3964401212438,50361.837903906664,52073.23434402791,55231.93929024167,107305.17363426958,2886.9379111593507,117476.39100754405,120363.3289187034,78465.44692571156,198828.77584441495,2449.8700465150505,99691.05687711008,102140.92692362513,66586.17331763828,2449.8700465150505,166277.23019474838,168727.10024126343,86228.56782019533,19584.159037493475,274539.8270989522
1.1,0.03695768901695135,0.13221753776992895,1213.7330295605866,70623.9300733559,71837.6631029165,25621.562994068012,97459.22609698451,1529.9099671927772,52277.6223417857,53807.53230897848,56897.57565467627,110705.10796365475,2743.642996753364,122901.5524151416,125645.19541189498,82519.13864874428,208164.33406063926,2292.893257616937,102710.20727434123,105003.10053195816,68962.17068181174,2292.893257616937,171672.37795615295,173965.27121376988,88994.03688899908,25830.40887542521,288789.7169781942
