,he1,hi1,b1,h1,he2,hi2,b2,h2,T,Weight,Mstar,Part Factor
68,0.35,0.35,0.35,0.6499999999999999,0.35,0.35,0.35,0.6499999999999999,0.4421920530564469,1936.9375,288.5760467411328,1.1920940464324608
69,0.35,0.35,0.35,0.6499999999999999,0.35,0.35,0.35,0.6499999999999999,0.5106152517005523,1921.9375,295.5358974108324,1.1769614303635367
70,0.35,0.35,0.35,0.6499999999999999,0.35,0.35,0.35,0.6499999999999999,0.47013752924969565,1958.5,294.0144465799058,1.1803721290661309
71,0.35,0.35,0.35,0.6499999999999999,0.35,0.35,0.35,0.6499999999999999,0.430923178366969,1999.9374999999998,291.2059031859343,1.186520812966558
72,0.35,0.35,0.35,0.6499999999999999,0.35,0.35,0.35,0.6499999999999999,0.5059017186307516,1984.9374999999998,296.53505071690483,1.1746925174238227
73,0.35,0.35,0.35,0.6499999999999999,0.35,0.35,0.35,0.6499999999999999,0.4641126536541571,2021.4999999999998,295.40172610128786,1.1772643785737718
74,0.35,0.35,0.35,0.6499999999999999,0.35,0.35,0.35,0.6499999999999999,0.4246714329519028,2062.9374999999995,292.71215058953345,1.1832475872644996
75,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.5,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.5,0.4257730555393124,1915.0,286.58876698232694,1.196179608416125
76,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.5,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.5,0.3994411576366749,1956.4375,284.76661265530015,1.1998252572779278
77,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.5,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.5,0.37503698936469054,2002.75,281.7047745453084,1.2057225894477677
78,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.5,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.5,0.4257730555393122,1987.0,286.58876698232694,1.1961796084161251
79,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.5,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.5,0.39934294946330773,2028.4375,284.7897236603455,1.1997796384550241
80,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.5,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.5,0.3747260525387371,2074.75,281.7790657393944,1.205583020908768
81,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.5,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.5,0.42577305553931244,2059.0,286.588766982327,1.196179608416125
82,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.5,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.5,0.3992361860390194,2100.4375,284.8148390856606,1.1997300447831047
83,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.5,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.5,0.37438429740660883,2146.75,281.86064380259756,1.2054295564653474
84,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.5,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.5,0.42577305553931305,2131.0,286.5887669823272,1.1961796084161245
85,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.5,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.5,0.3991356974275104,2172.4375,284.8384728625036,1.1996833593996532
86,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.5,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.5,0.3740587082743131,2218.75,281.93831714563606,1.205283237247557
87,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.5,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.5,0.4257730555393123,2203.0,286.58876698232723,1.1961796084161245
88,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.5,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.5,0.3990559368843743,2244.4375,284.85722945081466,1.199646296238917
89,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.5,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.5,0.3737973065887373,2290.75,282.0006624104468,1.20516565156809
90,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.55,0.42074689753239947,1982.5,287.7803526823753,1.1937432638935437
91,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.55,0.39503890351263027,2023.9375,285.8403870972422,1.1976888049217775
92,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.55,0.3704396584146627,2070.25,282.8343256218898,1.203581341733571
93,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.55,0.4144891398076589,2054.5,289.2388864544426,1.1907068418537405
94,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.55,0.387692505478861,2095.9375,287.6191108593218,1.1940753065266514
95,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.55,0.36274109355174,2142.25,284.7266401073929,1.1999041209350632
96,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.55,0.41448913980765845,2126.5,289.2388864544424,1.1907068418537408
97,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.55,0.3875866471041752,2167.9375,287.64600951977593,1.1940199655277428
98,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.55,0.3623969198019338,2214.25,284.8155613024114,1.1997286183900753
99,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.55,0.41448913980765917,2198.5,289.23888645444254,1.1907068418537405
100,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.55,0.3874854087231482,2239.9375,287.67175540634435,1.193966977098232
101,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.55,0.36206390993922505,2286.25,284.90169533276566,1.1995583888676769
102,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.55,0.4144891398076594,2270.5,289.23888645444254,1.1907068418537408
103,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.55,0.3874038777489659,2311.9375,287.6925051644134,1.1939242577480658
104,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.55,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.55,0.3617927135123021,2358.25,284.9719248134269,1.1994194263272875
105,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.6,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.6,0.42074689753239936,2050.0,287.7803526823753,1.1937432638935437
106,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.6,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.6,0.3949222361469585,2091.4375,285.86859039554736,1.1976322274196183
107,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.6,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.6,0.37004487716688617,2137.75,282.93115607304765,1.2033958882677644
108,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.6,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.6,0.40994811342365234,2122.0,290.4010898818956,1.1882459025103693
109,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.6,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.6,0.3837602448396287,2163.4375,288.6625847043386,1.1919136216866248
110,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.6,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.6,0.35853895879720016,2209.75,285.85583833135007,1.1976578117283871
111,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.6,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.6,0.40485583699350713,2194.0,291.65843150558567,1.1855434714831525
112,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.6,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.6,0.377616340434527,2235.4375,290.25601737195973,1.1885550556039521
113,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.6,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.6,0.3520703617864527,2281.75,287.57355398125134,1.1941689880936144
114,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.6,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.6,0.40485583699350786,2266.0,291.6584315055859,1.1855434714831523
115,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.6,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.6,0.37751573445875347,2307.4375,290.2834959488989,1.1884965407359296
116,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.6,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.6,0.3517345149089405,2353.75,287.66715193653073,1.1939764530196268
117,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.6,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.6,0.4048558369935078,2338.0,291.6584315055858,1.1855434714831523
118,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.6,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.6,0.37743342043507666,2379.4375,290.3060076816046,1.188448587756988
119,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.6,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.6,0.3514567410845359,2425.75,287.74473894696524,1.1938166657278442
120,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.6499999999999999,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.6499999999999999,0.4207468975323994,2117.5,287.78035268237545,1.1937432638935432
121,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.6499999999999999,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.6499999999999999,0.39481702637455235,2158.9375,285.8940403602374,1.1975811531381093
122,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.6499999999999999,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.6499999999999999,0.3696835605285803,2205.25,283.01985921505326,1.2032257404800148
123,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.6499999999999999,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.6499999999999999,0.4099481134236528,2189.5,290.40108988189564,1.188245902510369
124,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.6499999999999999,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.6499999999999999,0.38365370023075684,2230.9375,288.6904062569688,1.1918555721532866
125,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.6499999999999999,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.6499999999999999,0.35816840746742384,2277.25,285.95440189272796,1.1974599402549644
126,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.6499999999999999,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.6499999999999999,0.40075551301444984,2261.5,292.7848155154701,1.1830882383017127
127,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.6499999999999999,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.6499999999999999,0.374121650206912,2302.9375,291.258480028435,1.1864075309827182
128,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.6499999999999999,0.39999999999999997,0.39999999999999997,0.39999999999999997,0.6499999999999999,0.3482754229496129,2349.25,288.68222747764037,1.191872639346824
