,he1,hi1,b1,h1,he2,hi2,b2,h2,he3,hi3,b3,h3,T,Weight,Mstar,Part Factor
65,0.3,0.44999999999999996,0.25,0.45,0.25,0.39999999999999997,0.25,0.45,0.25,0.35,0.25,0.45,0.8940032695366102,229.72284906250002,93.7052106841194,1.2849260951885941
66,0.3,0.44999999999999996,0.25,0.45,0.25,0.39999999999999997,0.25,0.45,0.25,0.39999999999999997,0.25,0.45,0.8842713073569904,235.34784906250002,95.75464984432503,1.2698872737077809
67,0.3,0.44999999999999996,0.25,0.45,0.25,0.44999999999999996,0.25,0.45,0.25,0.39999999999999997,0.25,0.45,0.8650370220292649,241.72284906250002,95.76379569126439,1.2791168901810024
68,0.3,0.44999999999999996,0.25,0.45,0.25,0.44999999999999996,0.25,0.45,0.25,0.44999999999999996,0.25,0.45,0.8584416785670562,248.09784906250002,96.96728585739825,1.270576243181234
69,0.3,0.44999999999999996,0.25,0.45,0.3,0.39999999999999997,0.25,0.45,0.25,0.35,0.25,0.45,0.8722499947491327,229.74709203125002,93.79513165026786,1.2921664918376532
70,0.3,0.44999999999999996,0.25,0.45,0.3,0.39999999999999997,0.25,0.45,0.25,0.39999999999999997,0.25,0.45,0.8618233824269164,235.37209203125002,96.11086158003187,1.2752641141540375
71,0.3,0.44999999999999996,0.25,0.45,0.3,0.44999999999999996,0.25,0.45,0.25,0.39999999999999997,0.25,0.45,0.846635708190409,241.74709203125,96.04918863162047,1.28326755831509
72,0.3,0.44999999999999996,0.25,0.45,0.3,0.44999999999999996,0.25,0.45,0.25,0.44999999999999996,0.25,0.45,0.8400112956208355,248.12209203125,97.41319325139364,1.2734141527798097
73,0.3,0.44999999999999996,0.25,0.5,0.25,0.39999999999999997,0.25,0.5,0.25,0.35,0.25,0.5,0.8356426657238077,246.5978490625,94.47029680113913,1.283163634053759
74,0.3,0.44999999999999996,0.25,0.5,0.25,0.39999999999999997,0.25,0.5,0.25,0.39999999999999997,0.25,0.5,0.8255699426442258,252.2228490625,96.99309295919393,1.2641829685814256
75,0.3,0.44999999999999996,0.25,0.5,0.25,0.44999999999999996,0.25,0.5,0.25,0.39999999999999997,0.25,0.5,0.8045786278386375,258.5978490625,97.15254408482586,1.2739814118900212
76,0.3,0.44999999999999996,0.25,0.5,0.25,0.44999999999999996,0.25,0.5,0.25,0.44999999999999996,0.25,0.5,0.7980116336323237,264.9728490625,98.71611978748048,1.2623580549419777
