,Element,Bay,Storey,Position,b,h,coverNeg,coverPos,lp,length,phi1Neg,phi2Neg,phi3Neg,m1Neg,m2Neg,m3Neg,phi1,phi2,phi3,m1,m2,m3
10,Beam,3,4,external,0.4,0.6,0.03,0.03,0.3651999999999999,4.5,0.004584779692341022,0.07062012693996918,0.07580078916147667,134.0419001131657,135.0826829426779,2.391691404263,0.004577583285617304,0.07059674673102223,0.07576591711749929,134.04168388306738,135.0830865014811,2.3803133979540974
11,Beam,2,4,internal,0.4,0.6,0.03,0.03,0.3651999999999999,3.0,0.005119419076195348,0.07069294471009416,0.0757731109122549,148.25042192678006,149.38144517603587,2.4927974642356108,0.005119419076195348,0.07069294471009416,0.0757731109122549,148.25042192678006,149.38144517603587,2.4927974642356108
12,Column,1,1,external,0.45,0.45,0.03,0.03,0.3651999999999999,3.5,0.008865248703042899,0.11561000647868383,0.11676610654347065,240.59993401265967,248.084751525173,139.07551559036688,0.008865248703042899,0.11561000647868383,0.11676610654347065,240.59993401265967,248.084751525173,139.07551559036688
13,Column,4,1,external,0.45,0.45,0.03,0.03,0.3651999999999999,3.5,0.008865248703042899,0.11561000647868383,0.11676610654347065,240.59993401265967,248.084751525173,139.07551559036688,0.008865248703042899,0.11561000647868383,0.11676610654347065,240.59993401265967,248.084751525173,139.07551559036688
14,Column,2,1,internal,0.6499999999999999,0.6499999999999999,0.03,0.03,0.3651999999999999,3.5,0.006129039356855338,0.07704716189063676,0.07781763350954313,754.1209928188513,778.9708010589654,416.58390573890205,0.006129039356855338,0.07704716189063676,0.07781763350954313,754.1209928188513,778.9708010589654,416.58390573890205
15,Column,3,1,internal,0.6499999999999999,0.6499999999999999,0.03,0.03,0.3651999999999999,3.5,0.006129039356855338,0.07704716189063676,0.07781763350954313,754.1209928188513,778.9708010589654,416.58390573890205,0.006129039356855338,0.07704716189063676,0.07781763350954313,754.1209928188513,778.9708010589654,416.58390573890205
16,Column,1,2,external,0.45,0.45,0.03,0.03,0.3651999999999999,3.0,0.008905943272934709,0.11003792891949414,0.11113830820868907,249.33920819857556,253.42153066658602,116.7320868418074,0.008905943272934709,0.11003792891949414,0.11113830820868907,249.33920819857556,253.42153066658602,116.7320868418074
17,Column,4,2,external,0.45,0.45,0.03,0.03,0.3651999999999999,3.0,0.008905943272934709,0.11003792891949414,0.11113830820868907,249.33920819857556,253.42153066658602,116.7320868418074,0.008905943272934709,0.11003792891949414,0.11113830820868907,249.33920819857556,253.42153066658602,116.7320868418074
18,Column,2,2,internal,0.6499999999999999,0.6499999999999999,0.03,0.03,0.3651999999999999,3.0,0.005981839829455074,0.07208069586000268,0.0730345345379102,624.9253412167542,636.8830672211037,318.67745780257536,0.005981839829455074,0.07208069586000268,0.0730345345379102,624.9253412167542,636.8830672211037,318.67745780257536
19,Column,3,2,internal,0.6499999999999999,0.6499999999999999,0.03,0.03,0.3651999999999999,3.0,0.005981839829455074,0.07208069586000268,0.0730345345379102,624.9253412167542,636.8830672211037,318.67745780257536,0.005981839829455074,0.07208069586000268,0.0730345345379102,624.9253412167542,636.8830672211037,318.67745780257536
20,Column,1,3,external,0.4,0.4,0.03,0.03,0.3651999999999999,3.0,0.010610469362902782,0.12462365003979965,0.12586988654019762,213.22982778726436,215.2821299240996,80.79771076670032,0.010610469362902782,0.12462365003979965,0.12586988654019762,213.22982778726436,215.2821299240996,80.79771076670032
21,Column,4,3,external,0.4,0.4,0.03,0.03,0.3651999999999999,3.0,0.010610469362902782,0.12462365003979965,0.12586988654019762,213.22982778726436,215.2821299240996,80.79771076670032,0.010610469362902782,0.12462365003979965,0.12586988654019762,213.22982778726436,215.2821299240996,80.79771076670032
22,Column,2,3,internal,0.5999999999999999,0.5999999999999999,0.03,0.03,0.3651999999999999,3.0,0.006485751156271678,0.07709836465976737,0.07915560502905906,496.151563884124,502.2463999143837,223.88537186894646,0.006485751156271678,0.07709836465976737,0.07915560502905906,496.151563884124,502.2463999143837,223.88537186894646
23,Column,3,3,internal,0.5999999999999999,0.5999999999999999,0.03,0.03,0.3651999999999999,3.0,0.006485751156271678,0.07709836465976737,0.07915560502905906,496.151563884124,502.2463999143837,223.88537186894646,0.006485751156271678,0.07709836465976737,0.07915560502905906,496.151563884124,502.2463999143837,223.88537186894646
24,Column,1,4,external,0.4,0.4,0.03,0.03,0.3651999999999999,3.0,0.009243284393116778,0.11625034691953345,0.12307955567158745,141.48857920450646,143.29302660481858,46.824544418141286,0.009243284393116778,0.11625034691953345,0.12307955567158745,141.48857920450646,143.29302660481858,46.824544418141286
25,Column,4,4,external,0.4,0.4,0.03,0.03,0.3651999999999999,3.0,0.009243284393116778,0.11625034691953345,0.12307955567158745,141.48857920450646,143.29302660481858,46.824544418141286,0.009243284393116778,0.11625034691953345,0.12307955567158745,141.48857920450646,143.29302660481858,46.824544418141286
26,Column,2,4,internal,0.5999999999999999,0.5999999999999999,0.03,0.03,0.3651999999999999,3.0,0.006104605283621689,0.07392631600937427,0.07830844835491972,411.9390960708931,414.9423917224497,162.70286234809632,0.006104605283621689,0.07392631600937427,0.07830844835491972,411.9390960708931,414.9423917224497,162.70286234809632
27,Column,3,4,internal,0.5999999999999999,0.5999999999999999,0.03,0.03,0.3651999999999999,3.0,0.006104605283621689,0.07392631600937427,0.07830844835491972,411.9390960708931,414.9423917224497,162.70286234809632,0.006104605283621689,0.07392631600937427,0.07830844835491972,411.9390960708931,414.9423917224497,162.70286234809632
